"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Sep 13 20:39:45 GMT 2025","Sat Sep 13 20:39:46 GMT 2025","1190","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Sep 13 20:40:26 GMT 2025","Sat Sep 13 20:40:28 GMT 2025","1473","tests.pytest","test_parametrize","","","","Attempt to login with email:   , password: password",""
"passed","Sat Sep 13 20:40:25 GMT 2025","Sat Sep 13 20:40:27 GMT 2025","2078","tests.pytest","test_parametrize","","","","Attempt to login with email: user.name@gmail.com, password:   ",""
"passed","Sat Sep 13 20:39:45 GMT 2025","Sat Sep 13 20:39:47 GMT 2025","1540","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com, password:   ",""
"passed","Sat Sep 13 20:39:47 GMT 2025","Sat Sep 13 20:39:48 GMT 2025","1520","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Sat Sep 13 20:39:43 GMT 2025","Sat Sep 13 20:39:45 GMT 2025","1743","LMS system","Authentication","Authorization","","","Attempt to login with email: user.name@gmail.com, password: password",""
"passed","Sat Sep 13 20:40:24 GMT 2025","Sat Sep 13 20:40:26 GMT 2025","1649","tests.pytest","test_parametrize","","","","Attempt to login with email: user.name@gmail.com, password: password",""
"passed","Sat Sep 13 20:40:23 GMT 2025","Sat Sep 13 20:40:24 GMT 2025","1971","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Sep 13 20:39:50 GMT 2025","Sat Sep 13 20:39:52 GMT 2025","1498","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Sep 13 20:39:43 GMT 2025","Sat Sep 13 20:39:45 GMT 2025","1722","LMS system","Authentication","Authorization","","","Attempt to login with email:   , password: password",""
"broken","Sat Sep 13 20:39:52 GMT 2025","Sat Sep 13 20:40:24 GMT 2025","31210","LMS system","Courses","Courses","","","Create course",""
"broken","Sat Sep 13 20:39:50 GMT 2025","Sat Sep 13 20:40:22 GMT 2025","31259","LMS system","Courses","Courses","","","Edit course",""
